ID,Symbol,SMILES,MolWt,mol,cid,Energy,Relative energy,mol_charged,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,E,E_ang,E_ele,E_nb,E_oop,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,npr1,npr2,pmi,pmi1,pmi2,pmi3,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8,PNSA1,PNSA2,PNSA3,PNSA4,PNSA5,PPSA1,PPSA2,PPSA3,PPSA4,PPSA5,DPSA1,DPSA2,DPSA3,DPSA4,DPSA5,FNSA1,FNSA2,FNSA3,FNSA4,FNSA5,FPSA1,FPSA2,FPSA3,FPSA4,FPSA5,WNSA1,WNSA2,WNSA3,WNSA4,WNSA5,WPSA1,WPSA2,WPSA3,WPSA4,WPSA5,RNCS,RPCS,TASA,TPSA,RASA,RPSA,GeomDiameter,GeomRadius,GeomShapeIndex,GeomPetitjeanIndex,GRAV,GRAVp,MOMI-X,MOMI-Y,MOMI-Z,PBF
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,171,10.615376,0.0,O=C[C@@](NC)[C@](O)C,303.54352,234.7511,68.792412,174.29601,129.24751,561.05511,164.41386,165.95869,396.64127,0.9437905,0.3635087,49.376091,0.90467888,36.148781,37.77317,0.001903853,-14.583709,0,3.4744213,8.5508623,7.2219172,1.624387,0.77336884,0.22663113,0.57420433,0.42579564,1.8483516,0.54164839,0.21938834,0.56444687,0.66892892,476.5621,240.88556,285.47473,426.76392,2.016937,1.8038477,1.2567639,0.84490258,124.125,158.17706,2.9105799,0.08164195,3.0288532,2.1682143,1.5573055,0.9036575,0.47918707,0.19871597,0.061383344,0.005818527,246.25,137.5,115.25,102.0,79.125,40.5,11.125,3.5,1.4142135,2.1213202,0.70710677,0.5,0.5,0.70710677,-1.8241867,-1.8208203,-1.819463,-6.6776395,-6.5093713,-6.37678,1.1789671,230.75,273.25,198.125,89.5,37.625,14.25,4.5,0.375,0.36876357,0.15073529,1.3400251,1.4695663,1.6480062,1.7442482,1.9772261,1.9179256,2.7943335,3.5975735,0.46718323,0.98275626,1.1771381,1.3024037,1.5301161,2.1684072,3.0848973,3.4071703,1.1870475,261.15216,310.0,661.375,424.0,244.125,104.0,42.5,15.375,4.5,0.375,430.625,150.75,46.0,14.5,4.875,1.125,0.0,0.0,229.23282198042548,-241.64984521278387,-38.09158878333993,-12.718412905935994,-48.32996904255678,41.78979487822011,44.05345350003239,4.730064806803248,2.318602815791178,3.146675250002313,-187.44302710220532,285.70329871281626,42.82165359014318,15.037015721727172,51.47664429255909,0.8458069833337342,-0.8916224336318714,-0.1405476385138992,-0.0469274965069406,-0.1783244867263743,0.1541930166662657,0.1625453034534342,0.0174526571310845,0.0085550159712333,0.0116103788181024,62.12727928302697,-65.49257341305534,-10.32368207236422,-3.4469775480555445,-13.09851468261107,11.32597956588124,11.93948224923944,1.2819545418508005,0.6283938025915493,0.8528201606599598,109.76110998511956,0.0,167.9387517180705,103.08386514057509,0.6196484768120313,0.3803515231879686,4.39492228145163,2.5409631500673124,0.7296284998604583,0.4218411641108612,993.6485856968076,566.6456439499245,361.97632190860816,229.9736673248177,204.7491300644084,0.2060543776101605
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,18,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.86264,241.99699,64.865639,183.29903,123.56361,578.3728,155.02888,177.13135,423.3439,0.95924664,1.240322,55.789761,0.82855695,43.773708,45.778702,0.000383958,-20.803905,0,3.5437336,13.084528,5.6383815,2.0049949,0.78861666,0.21138333,0.59733248,0.40266749,1.8847939,0.50520617,0.230602,0.51672572,0.69903183,454.85455,212.14871,286.99695,410.56345,1.9704655,1.8067883,1.2396955,0.86763853,122.125,158.23384,3.9806504,0.097540513,2.9842265,2.0645421,1.2561001,0.77641708,0.44960278,0.23777047,0.12511918,0.056114975,294.5,166.375,133.125,117.125,97.25,58.375,23.5,7.625,0.5,0.70710677,0.5,0.5,0.70710677,1.118034,-1.7818233,-1.7763519,-1.7336173,-8.9898977,-8.5927248,-8.4771719,1.15918,193.5,215.5,160.125,82.125,40.75,20.375,10.5,3.875,0.33708921,0.1814301,1.5922221,1.5251735,1.5420235,1.6417799,1.839269,2.0755103,2.8956802,3.257462,0.50054914,1.3801408,2.0542831,2.2927408,2.5656743,2.7767909,3.1321769,3.2100883,1.2100626,257.94119,312.125,623.75,367.5,201.25,94.25,44.875,21.25,10.5,3.875,430.25,152.0,41.125,12.125,4.125,0.875,0.0,0.0,215.85103501446065,-227.54319712871512,-33.8297534573254,-11.975957743616586,-45.50863942574302,51.80611654490485,54.61233664531997,5.922809152006541,2.87433350764842,3.900881188951426,-164.0449184695558,282.1555337740351,39.75256260933194,14.850291251265006,49.40952061469444,0.80644598418879,-0.8501293382338292,-0.1263921149135522,-0.0447436493807278,-0.1700258676467658,0.1935540158112099,0.2040383988514767,0.0221283426110618,0.0107388630974461,0.014574171346534,57.774073193111406,-60.90356400018308,-9.054775448343312,-3.2054507368517418,-12.180712800036616,13.86627758776175,14.617382466487497,1.5852822268558118,0.7693359192888156,1.0440987476062498,98.69466062447992,0.0,177.45898198145244,90.19816957791308,0.6630085575803963,0.3369914424196037,4.473998942780385,2.539394669995194,0.7618367856103487,0.4324105341837482,1013.7708004304212,566.563164793842,343.45748317061657,228.6071969857924,177.68899185370222,0.2200341255490799
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,142,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,302.18399,239.83492,62.34906,182.92447,119.25951,573.20544,149.01425,177.48587,424.19122,0.96022952,1.240293,55.760605,0.83090788,43.761505,45.763988,0.000401322,-20.798706,0,3.5271862,13.055375,5.6381226,2.0024853,0.79367185,0.20632814,0.60534137,0.3946586,1.8968757,0.49312425,0.23059388,0.5167762,0.69903558,454.91132,212.1907,287.02725,410.60464,1.9705884,1.8068627,1.2398244,0.86765891,122.0,159.59578,3.9772294,0.097646832,2.9843755,2.0643311,1.2555915,0.77604342,0.4494954,0.23766282,0.12505825,0.056077924,294.375,166.25,133.25,117.25,97.375,58.5,23.5,7.625,0.5,0.70710677,0.5,0.5,0.70710677,1.118034,-1.7814186,-1.7758838,-1.7330431,-8.9891911,-8.5912342,-8.4765329,1.1589726,193.625,215.25,159.875,82.25,40.75,20.375,10.5,3.875,0.33677298,0.18123667,1.5926557,1.5261183,1.5395792,1.6393011,1.8390344,2.0784228,2.8956132,3.2574928,0.50084323,1.3799103,2.0568991,2.2933114,2.5654547,2.7766764,3.1320047,3.2098629,1.2104408,257.9639,312.25,623.875,367.125,201.0,94.375,44.875,21.25,10.5,3.875,430.25,151.875,41.125,12.125,4.125,0.875,0.0,0.0,216.439190077596,-228.1632112206757,-33.86267854953481,-12.00859006424609,-45.63264224413514,51.5698825433321,54.36330638245941,5.881378592205535,2.8612266517083897,3.883093313032815,-164.8693075342639,282.5265176031351,39.74405714174035,14.869816715954478,49.51573555716796,0.8075815790897777,-0.8513264457408487,-0.1263490008691988,-0.044806655038992,-0.1702652891481697,0.1924184209102224,0.202841291344457,0.0219446996129274,0.0106758574391819,0.0144886636674612,58.00766661152127,-61.14981064546622,-9.07550507452142,-3.2184110866034854,-12.229962129093243,13.821196395608624,14.569859328170327,1.5762628222295851,0.7668347014826488,1.0407042377264517,98.46881471916072,0.0,177.7188393831825,90.29023323774555,0.6631075494766849,0.336892450523315,4.474030505036818,2.539379219415643,0.7618599344395569,0.4324179916616939,1013.7697537761712,566.5671992863064,343.6653678600037,228.4641918169719,177.81733288582558,0.2091100444246671
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,105,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.40665,242.45992,63.946747,184.73961,121.66705,579.47919,152.83272,178.51317,426.64645,0.95826584,1.2404512,55.793934,0.82741719,43.786091,45.796761,0.000229052,-20.804501,0,3.532836,13.088701,5.6366906,2.0106685,0.79130107,0.20869894,0.60292298,0.39707702,1.8912095,0.49879047,0.23058292,0.5166871,0.69899988,454.84494,212.13513,286.98691,410.56787,1.9704447,1.8068144,1.2396135,0.8676151,122.25,158.37189,3.9634888,0.097726673,2.9850821,2.0649302,1.2559023,0.78069752,0.45149049,0.23468271,0.1218546,0.05678536,297.5,162.875,129.25,114.875,96.5,58.0,22.875,7.625,6.1644139,5.937171,0.5,0.5,0.5,1.0,-1.7824856,-1.7708451,-1.761281,-9.0672827,-8.4549541,-8.4121046,1.1661029,191.125,217.875,161.125,83.125,41.0,20.375,10.375,4.0,0.34622824,0.18389554,1.5551829,1.5191662,1.5665184,1.6335739,1.8561968,2.1291187,2.9240382,3.3172171,0.48598975,1.3629347,2.0322008,2.2929652,2.5345917,2.8113995,3.1548648,3.1886084,1.19982,258.1637,309.75,625.125,368.0,201.875,95.5,44.75,21.125,10.375,4.0,434.0,150.125,40.75,12.375,3.75,0.75,0.0,0.0,215.8474226745511,-227.53938911652705,-33.77892874713499,-11.975757321922476,-45.50787782330541,52.08959734679216,54.91117296075264,5.926945679445794,2.8900617347764546,3.92222664005376,-163.75782532775895,282.4505620772797,39.70587442658079,14.86581905669893,49.43010446335917,0.8055901444949907,-0.8492271396405088,-0.1260704054424589,-0.0446961652442373,-0.1698454279281017,0.1944098555050094,0.204940597444797,0.0221206673082117,0.0107863472339366,0.0146386141031997,57.83351521070654,-60.96622585735912,-9.050625508020635,-3.2087487293346904,-12.193245171471824,13.956731487211158,14.712736048980622,1.5880481631790817,0.7743545288937168,1.05090971778433,98.69466062447992,0.0,177.9078265844407,90.02919343690257,0.6639912117044109,0.3360087882955892,4.4740453763903645,2.5394108096170656,0.761843873171917,0.4324128174878172,1013.7955554487291,566.5902415277446,343.3721485246714,228.733339059494,177.82079639302782,0.2319879062080996
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,54,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,305.32986,241.76662,63.563229,182.83617,122.49368,577.8222,151.91611,178.2034,425.90613,0.95924664,1.2402735,55.788006,0.8278212,43.783951,45.794018,0.000495313,-20.80414,0,3.5253444,13.082772,5.6403265,2.010067,0.79182112,0.20817888,0.59881526,0.40118474,1.8924525,0.49754754,0.23059112,0.51672113,0.69902909,454.83105,212.13655,286.9819,410.54361,1.9704146,1.806743,1.2396604,0.86759633,122.125,158.03621,4.0110312,0.095731951,2.9949524,2.0751259,1.2598482,0.77782035,0.45260969,0.23036355,0.12579633,0.054330915,293.0,166.375,130.5,117.0,97.875,58.125,24.75,7.875,5.7662811,0.5,6.041523,0.5,0.5,0.70710677,-1.7604213,-1.7514571,-1.7445565,-9.4770498,-8.800168,-8.762846,1.163414,188.5,215.375,162.625,82.75,41.875,19.75,10.125,4.5,0.34865901,0.17521368,1.57242,1.5271485,1.6050756,1.6949979,1.8819326,2.1154799,2.9059727,3.2595398,0.51098132,1.3803443,2.0476718,2.3212421,2.5356812,2.844352,3.0756114,3.3366129,1.2014596,257.08313,308.875,623.25,367.25,201.875,94.75,45.5,20.5,10.125,4.5,434.75,151.875,39.25,12.0,3.625,0.75,0.0,0.0,216.6916549037492,-228.4293514951553,-33.99139827022939,-12.022597447113435,-45.68587029903106,52.06597394663489,54.88626993446658,5.946509017979537,2.8887510491824515,3.920447852461898,-164.62568095711433,283.31562142962184,39.937907288208926,14.911348496295888,49.60631815149296,0.8062716427089044,-0.8499455530704978,-0.1264760312688731,-0.0447339764773946,-0.1699891106140995,0.1937283572910956,0.2042221840148078,0.022125917107603,0.0107485360007793,0.0145872988582005,58.23753536359735,-61.39213086766888,-9.1354476004159,-3.2311647825088885,-12.278426173533775,13.993127701683468,14.751103764029365,1.5981696636096066,0.776373882317335,1.0536502688592402,98.41235324283096,0.0,178.02594358522708,90.731685265157,0.6624033124073034,0.3375966875926965,4.473971173353712,2.539386620820076,0.761831434674913,0.4324088103329155,1013.7923015587226,566.5779725033924,343.3836665675625,228.7987218267348,177.93524706426965,0.2366550033707179
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,110,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.15692,243.1221,63.034821,184.1255,122.03142,581.06183,150.65321,180.08728,430.4086,0.95924664,1.2405908,55.730461,0.82100922,43.763905,45.761082,0.000315435,-20.798153,0,3.5104344,13.02523,5.6376204,1.9971778,0.79410946,0.20589055,0.6014089,0.39859107,1.8979216,0.49207842,0.23054248,0.51667929,0.69897866,454.9252,212.17213,287.03256,410.64569,1.9706185,1.8068883,1.2397223,0.86757457,122.125,157.46765,4.0137339,0.095715716,2.9951494,2.0746727,1.2597574,0.77792895,0.45265001,0.23038058,0.12577699,0.054315887,292.875,166.375,130.5,117.125,98.0,58.125,24.625,7.75,5.7662811,0.5,6.041523,0.5,0.5,0.70710677,-1.7602613,-1.751809,-1.7443011,-9.4726887,-8.7908106,-8.7605324,1.1635077,188.75,215.625,162.875,82.75,41.75,19.75,10.125,4.5,0.34865901,0.17502668,1.5715215,1.529388,1.6084704,1.701586,1.8862433,2.1152625,2.907053,3.2596121,0.51156443,1.3798215,2.0492454,2.3213601,2.535876,2.8446343,3.0758665,3.3367679,1.2013628,257.10385,308.875,623.25,367.375,201.875,94.75,45.5,20.5,10.125,4.5,434.5,151.75,39.0,12.0,3.75,0.75,0.0,0.0,216.20979776669105,-227.92139324738423,-33.88317737036056,-11.995862802493908,-45.58427864947684,51.47538894270299,54.26369427731518,5.885137244084559,2.855983909332378,3.87597816266537,-164.73440882398802,282.1850875246994,39.76831461444512,14.851846711826283,49.46025681214221,0.8077017649893865,-0.8514531418386688,-0.126578455038474,-0.0448133232546667,-0.1702906283677337,0.1922982350106134,0.2027145952466366,0.021985292934695,0.0106691892235071,0.0144796139461883,57.87616008357701,-61.01118070649127,-9.070024660692482,-3.211114774025856,-12.202236141298254,13.779199100066128,14.52558713416459,1.575364061993184,0.7645045860086628,1.0375419381546136,98.52527619549052,0.0,177.29361818035153,90.39156852904247,0.6623213647336641,0.3376786352663358,4.474032109853482,2.539401970937252,0.7618447811955467,0.4324131100122092,1013.788237689425,566.5781277557235,343.3698638358036,228.7329853863139,177.81903846067308,0.2319900473841865
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,89,10.659376,0.044000376,O=C[C@@](NC)[C@](O)C,306.44275,243.35585,63.086899,185.37651,121.06623,581.62048,150.77769,180.26895,430.84277,0.95924664,1.240873,55.721863,0.82541347,43.773266,45.774025,0.000254261,-20.8085,0,3.482866,13.016631,5.6393027,2.000762,0.79413152,0.20586847,0.60493034,0.39506966,1.8979744,0.49202564,0.23051919,0.51671469,0.6990338,454.94385,212.18668,287.05527,410.64572,1.9706589,1.8069506,1.2397794,0.86756057,122.125,157.50815,3.9678574,0.09784504,2.9848142,2.0649116,1.2555056,0.7805196,0.4513391,0.23585795,0.12178681,0.056758974,297.75,162.875,129.375,115.0,96.625,58.125,23.0,7.625,6.1644139,5.937171,0.5,0.5,0.5,1.0,-1.7825251,-1.7709643,-1.7612588,-9.0754604,-8.4557753,-8.4099121,1.1649563,190.75,217.75,161.125,83.0,40.875,20.5,10.375,3.75,0.34492755,0.18478261,1.554744,1.5191972,1.5642971,1.6314508,1.8478153,2.1283679,2.9250085,3.317327,0.48775443,1.3637503,2.0316315,2.2926481,2.5413918,2.8006997,3.1548018,3.1756094,1.2016467,258.18735,310.25,625.0,367.875,201.875,95.375,44.625,21.25,10.375,3.75,434.25,150.125,40.75,12.375,3.75,0.75,0.0,0.0,216.15727343486788,-227.8660237913644,-33.83413279265221,-11.992948620598122,-45.57320475827287,51.9478569458485,54.7617548030363,5.932548630071265,2.8821976212124367,3.911553914502592,-164.20941648901936,282.62777859440064,39.76668142272348,14.875146241810558,49.484758672775456,0.8062407203022144,-0.8499129556670122,-0.1261972598010595,-0.0447322608245795,-0.1699825911334024,0.1937592796977855,0.2042547814182934,0.0221276952874676,0.0107502516535943,0.0145896272441638,57.95287397699541,-61.09205001791916,-9.071104583692494,-3.2153710535746924,-12.21841000358383,13.927486959465517,14.681907411344868,1.590546723955197,0.772731969018151,1.048707672238919,98.63819914815014,0.0,177.9078265844407,90.19730379627568,0.6635748683056041,0.3364251316943958,4.474029777504839,2.5395072809503816,0.7617708013936012,0.4323892760573753,1013.7982835347055,566.583621952084,343.28608543393966,229.1683033337619,178.46302635702003,0.2597541688028619
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,88,10.659376,0.04400038,O=C[C@@](NC)[C@](O)C,304.63211,241.48935,63.142746,183.50273,121.12936,577.15955,150.91116,178.3466,426.24838,0.96022952,1.240889,55.637867,0.81319332,43.754646,45.754101,0.000363709,-20.798395,0,3.430707,15.645624,5.639503,1.9994556,0.79272455,0.20727542,0.60237491,0.39762506,1.8946117,0.49538827,0.23053887,0.51675004,0.69906723,454.93756,212.19168,287.05612,410.62735,1.9706453,1.8067899,1.2396766,0.86752051,122.0,157.58926,4.0128317,0.095542677,2.9949265,2.0747674,1.2597896,0.77783966,0.45260864,0.23039214,0.12573263,0.054280568,292.5,166.125,130.25,116.75,97.625,58.125,24.625,7.75,5.7662811,0.5,6.041523,0.5,0.5,0.70710677,-1.7596153,-1.7519522,-1.7440591,-9.4741964,-8.7916098,-8.7593946,1.1634883,188.25,215.625,162.875,82.875,41.75,19.75,10.125,4.5,0.34932822,0.17558886,1.5711403,1.5281094,1.6063573,1.696661,1.8832167,2.1150401,2.9067662,3.2592857,0.51345366,1.3801553,2.0480874,2.3211327,2.5362322,2.8449583,3.0762193,3.3371787,1.201383,257.09955,308.875,622.75,367.375,201.875,94.875,45.5,20.5,10.125,4.5,434.5,151.75,39.0,12.0,3.75,0.75,0.0,0.0,215.60090032576937,-227.27951320997087,-33.8181174279789,-11.962079642630046,-45.45590264199418,51.99510374616305,54.811560855608406,5.934736149677434,2.884818992400443,3.9151114896863146,-163.6057965796063,282.0910740655793,39.75285357765633,14.846898635030488,49.3710141316805,0.8056955150489232,-0.8493382178789034,-0.1263775127930843,-0.0447020114673107,-0.1698676435757806,0.1943044849510767,0.2048295192064023,0.0221779699971981,0.0107805010108632,0.0146306799433144,57.69393940148688,-60.81908954240219,-9.049593088962531,-3.20100471275801,-12.16381790848044,13.913681993778798,14.66735466190636,1.5881116788749272,0.771966034837177,1.0476681901361684,99.08989095878847,0.0,177.45898198145244,90.13702209047996,0.6631600594968141,0.3368399405031857,4.473992535755955,2.5394560204894274,0.7617916985597908,0.4323960086669335,1013.7949924315332,566.5832968354873,343.36607077061285,228.73318809839816,177.81697624244916,0.2319898825232103
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,156,10.659376,0.04400038,O=C[C@@](NC)[C@](O)C,306.33133,243.94534,62.38599,185.89014,120.44119,583.02936,149.10251,181.55936,433.92685,0.96022952,1.2412152,55.695328,0.81521529,43.771877,45.773632,0.000172507,-20.807852,0,3.4672325,12.990095,5.6390753,2.0017545,0.79634476,0.20365527,0.60682702,0.39317295,1.9032639,0.48673609,0.23059078,0.51676452,0.69915414,454.87808,212.16017,287.04114,410.55484,1.9705164,1.8068388,1.2396911,0.86764163,122.0,157.25406,3.9624081,0.097543456,2.9863901,2.0654855,1.2554364,0.77960771,0.45312721,0.23618992,0.12190747,0.05681403,297.375,162.875,129.375,115.0,96.875,58.375,23.125,7.625,6.1644139,5.937171,0.5,0.5,0.5,1.0,-1.782509,-1.7705467,-1.7611903,-9.0787649,-8.4604082,-8.4073048,1.1651992,191.25,217.875,161.5,83.25,41.0,20.5,10.375,3.875,0.34589371,0.18478261,1.5563169,1.5198822,1.5650864,1.6292051,1.8470874,2.1302133,2.9236295,3.3176832,0.48686099,1.3635061,2.0306237,2.2899199,2.5366318,2.800245,3.1543584,3.1918793,1.2007506,257.96362,309.75,625.25,368.25,202.125,95.625,44.75,21.25,10.375,3.875,434.0,150.375,40.625,12.375,3.75,0.75,0.0,0.0,216.03737496913936,-227.7396306970673,-33.9081705999434,-11.986296352477224,-45.54792613941346,51.33364854175935,54.114276119598856,5.85930501716802,2.8481197957683606,3.865305437114204,-164.70372642738002,281.8539068166661,39.767475617111415,14.834416148245586,49.413231576527664,0.8080059392087907,-0.851773792487218,-0.1268206634910877,-0.0448301996045904,-0.1703547584974436,0.1919940607912093,0.2023939445980878,0.0219145101822493,0.0106523128735835,0.0144567103284348,57.7621340621066,-60.89097815346896,-9.06606227868903,-3.204788323866788,-12.178195630693793,13.725130151158949,14.468589392648529,1.5666083795027572,0.7615047048762383,1.0334706709034662,98.86404505346933,0.0,176.9392671779924,90.4317563329063,0.661774282248577,0.338225717751423,4.473984373016965,2.539396562177716,0.7618297353211347,0.4324082628689845,1013.76539269863,566.5588759279862,343.3644825323161,228.7301450790288,177.82475702027182,0.23199894026599
388,Sub92,CN[C@H](C=O)[C@@H](C)O,117.14799999999998,O=C[C@@](NC)[C@](O)C,71,10.694758,0.079382993,O=C[C@@](NC)[C@](O)C,303.62857,231.48927,72.13929,177.79837,125.83019,553.25934,172.4129,159.34998,380.84644,0.94952786,0.5262115,50.927959,0.97385335,37.780445,39.311958,0.001741256,-15.632699,0,3.5116346,10.102732,7.1287699,1.531515,0.76240939,0.2375906,0.58557856,0.41442147,1.8221585,0.56784153,0.2325182,0.57188421,0.67170757,475.41119,242.36151,284.66614,423.79474,2.0144999,1.7509488,1.2911752,0.84430999,123.375,158.19099,2.9421382,0.079820544,3.0463202,2.2467771,1.6369712,0.92825174,0.45999315,0.16468835,0.048280276,0.020344893,243.625,134.25,111.25,92.875,74.25,37.375,10.75,2.875,0.70710677,2.8284271,2.1213202,0.5,0.5,0.70710677,-1.8591558,-1.8110442,-1.8068702,-7.6725097,-7.3011727,-7.2667599,1.1776273,244.875,289.75,202.75,90.25,35.125,11.875,3.5,1.25,0.36404493,0.13862719,1.3691691,1.5068769,1.7212372,2.0017636,2.2826929,2.4648125,3.1079144,3.668915,0.46466932,0.97108114,1.1735607,1.2619362,1.4421895,2.0365717,3.4957786,3.4324796,1.1871188,260.2941,309.0,669.0,436.625,249.125,104.75,40.5,12.875,3.5,1.25,424.125,146.875,46.375,14.5,5.375,1.0,0.0,0.0,229.93364861708093,-242.388634042436,-38.30295737221203,-12.757296528549263,-48.477726808487205,41.459067276018246,43.70481113202761,4.723723497478502,2.300253217475137,3.121772223716257,-188.47458134106267,286.0934451744636,43.02668086969053,15.057549746024405,51.59949903220346,0.8472358878918886,-0.8931287387164519,-0.1411348025541682,-0.0470067757219185,-0.1786257477432904,0.1527641121081114,0.1610389983688538,0.0174054910867215,0.0084757367562554,0.0115027855977752,62.402317373399136,-65.78250969439522,-10.395143627982227,-3.4622373523365906,-13.156501938879044,11.251688866433303,11.861167390715924,1.2819841491087396,0.624271967932417,0.8472262421939944,109.98695589043872,0.0,167.63164751602594,103.76106837707324,0.6176718743698913,0.3823281256301088,4.380599663288121,2.538955621904408,0.7253549552009659,0.4204091181437375,992.2255257267658,566.6682531899312,362.2752621419821,232.4579337445817,204.17056375735368,0.2046753757991651
